trade_date,strat,bench,strat_cum,bench_cum,active_cum,active
20170103,0.0,0.0,1.0,1.0,1.0,0.0
20170104,0.0,0.0,1.0,1.0,1.0,0.0
20170105,0.0,0.0,1.0,1.0,1.0,0.0
20170106,0.0,0.0,1.0,1.0,1.0,0.0
20170109,0.0,0.0,1.0,1.0,1.0,0.0
20170110,0.0,0.0,1.0,1.0,1.0,0.0
20170111,0.0,0.0,1.0,1.0,1.0,0.0
20170112,0.0,0.0,1.0,1.0,1.0,0.0
20170113,0.0,0.0,1.0,1.0,1.0,0.0
20170116,0.0,0.0,1.0,1.0,1.0,0.0
20170117,0.0,0.0,1.0,1.0,1.0,0.0
20170118,0.0,0.0,1.0,1.0,1.0,0.0
20170119,0.0,0.0,1.0,1.0,1.0,0.0
20170120,0.0,0.0,1.0,1.0,1.0,0.0
20170123,0.0,0.0,1.0,1.0,1.0,0.0
20170124,0.0,0.0,1.0,1.0,1.0,0.0
20170125,0.0,0.0,1.0,1.0,1.0,0.0
20170126,-0.00642,0.0,0.99358,1.0,0.99358,-0.00642
20170203,0.00489140280601,0.0,0.99844,1.0,0.99844,0.00489140280601
20170206,0.0,0.0,0.99844,1.0,0.99844,0.0
20170207,0.0,0.0,0.99844,1.0,0.99844,0.0
20170208,0.0,0.0,0.99844,1.0,0.99844,0.0
20170209,0.0,0.0,0.99844,1.0,0.99844,0.0
20170210,0.0,0.0,0.99844,1.0,0.99844,0.0
20170213,0.0,0.0,0.99844,1.0,0.99844,0.0
20170214,0.0,0.0,0.99844,1.0,0.99844,0.0
20170215,0.0,0.0,0.99844,1.0,0.99844,0.0
20170216,0.0,0.0,0.99844,1.0,0.99844,0.0
20170217,0.00494771844077,0.0,1.00338,1.0,1.00338,0.00494771844077
20170220,0.0213877095417,0.0,1.02484,1.0,1.02484,0.0213877095417
20170221,-0.0049763865579,0.0,1.01974,1.0,1.01974,-0.0049763865579
20170222,0.00617804538412,0.0,1.02604,1.0,1.02604,0.00617804538412
20170223,-0.000370355931543,0.0,1.02566,1.0,1.02566,-0.000370355931543
20170224,0.00179396681161,0.0,1.0275,1.0,1.0275,0.00179396681161
20170227,-0.0105498783455,0.0,1.01666,1.0,1.01666,-0.0105498783455
20170228,-0.00499675407708,0.0,1.01158,1.0,1.01158,-0.00499675407708
20170301,0.00385535498922,0.0,1.01548,1.0,1.01548,0.00385535498922
20170302,0.000413597510537,0.0,1.0159,1.0,1.0159,0.000413597510537
20170303,-0.000551235357811,0.0,1.01534,1.0,1.01534,-0.000551235357811
20170306,0.00476687612031,0.0,1.02018,1.0,1.02018,0.00476687612031
20170307,0.0161540120371,0.0,1.03666,1.0,1.03666,0.0161540120371
20170308,0.000154341828565,0.0,1.03682,1.0,1.03682,0.000154341828565
20170309,0.00505391485504,0.0,1.04206,1.0,1.04206,0.00505391485504
20170310,-9.59637640827e-05,0.0,1.04196,1.0,1.04196,-9.59637640827e-05
20170313,0.00326308111636,0.0,1.04536,1.0,1.04536,0.00326308111636
20170314,-0.00392209382414,0.0,1.04126,1.0,1.04126,-0.00392209382414
20170315,0.00994948427866,0.0,1.05162,1.0,1.05162,0.00994948427866
20170316,0.000171164489074,0.0,1.0518,1.0,1.0518,0.000171164489074
20170317,0.00705457311276,0.0,1.05922,1.0,1.05922,0.00705457311276
20170320,0.0149732822265,0.0,1.07508,1.0,1.07508,0.0149732822265
20170321,0.0141384827176,0.0,1.09028,1.0,1.09028,0.0141384827176
20170322,0.000862163847819,0.0,1.09122,1.0,1.09122,0.000862163847819
20170323,-0.00859588350653,0.0,1.08184,1.0,1.08184,-0.00859588350653
20170324,-0.00549064556681,0.0,1.0759,1.0,1.0759,-0.00549064556681
20170327,-0.0148712705642,0.0,1.0599,1.0,1.0599,-0.0148712705642
20170328,0.00271723747523,0.0,1.06278,1.0,1.06278,0.00271723747523
20170329,0.00637949528595,0.0,1.06956,1.0,1.06956,0.00637949528595
20170330,0.00465612027376,0.0,1.07454,1.0,1.07454,0.00465612027376
20170331,0.000409477543879,0.0,1.07498,1.0,1.07498,0.000409477543879
20170405,0.00613964910975,0.0,1.08158,1.0,1.08158,0.00613964910975
20170406,0.00416057989238,0.0,1.08608,1.0,1.08608,0.00416057989238
20170407,0.00176782557454,0.0,1.088,1.0,1.088,0.00176782557454
20170410,-0.00674632352941,0.0,1.08066,1.0,1.08066,-0.00674632352941
20170411,-0.00723631854607,0.0,1.07284,1.0,1.07284,-0.00723631854607
20170412,0.0092092017449,0.0,1.08272,1.0,1.08272,0.0092092017449
20170413,0.015073149106,0.0,1.09904,1.0,1.09904,0.015073149106
20170414,-0.00535012374436,0.0,1.09316,1.0,1.09316,-0.00535012374436
20170417,0.000622049837169,0.0,1.09384,1.0,1.09384,0.000622049837169
20170418,0.0161998098442,0.0,1.11156,1.0,1.11156,0.0161998098442
20170419,0.0019612076721,0.0,1.11374,1.0,1.11374,0.0019612076721
20170420,0.0171853394868,0.0,1.13288,1.0,1.13288,0.0171853394868
20170421,-0.0260927900572,0.0,1.10332,1.0,1.10332,-0.0260927900572
20170424,-0.00358916724069,0.0,1.09936,1.0,1.09936,-0.00358916724069
20170425,0.0370033474021,0.0,1.14004,1.0,1.14004,0.0370033474021
20170426,-0.00163152170099,0.0,1.13818,1.0,1.13818,-0.00163152170099
20170427,0.00611502574285,0.0,1.14514,1.0,1.14514,0.00611502574285
20170428,-0.013902230295,0.0,1.12922,1.0,1.12922,-0.013902230295
20170502,-0.00247958767999,0.0,1.12642,1.0,1.12642,-0.00247958767999
20170503,0.00981871770743,0.0,1.13748,1.0,1.13748,0.00981871770743
20170504,-0.00283081900341,0.0,1.13426,1.0,1.13426,-0.00283081900341
20170505,0.000335020189375,0.0,1.13464,1.0,1.13464,0.000335020189375
20170508,-0.0188782345061,0.0,1.11322,1.0,1.11322,-0.0188782345061
20170509,0.0058928154363,0.0,1.11978,1.0,1.11978,0.0058928154363
20170510,0.00237546660951,0.0,1.12244,1.0,1.12244,0.00237546660951
20170511,0.0,0.0,1.12244,1.0,1.12244,0.0
20170512,0.0,0.0,1.12244,1.0,1.12244,0.0
20170515,0.0,0.0,1.12244,1.0,1.12244,0.0
20170516,0.0,0.0,1.12244,1.0,1.12244,0.0
20170517,-0.0062720501764,0.0,1.1154,1.0,1.1154,-0.0062720501764
20170518,0.0052716514255,0.0,1.12128,1.0,1.12128,0.0052716514255
20170519,0.0201198630137,0.0,1.14384,1.0,1.14384,0.0201198630137
20170522,0.00167855644146,0.0,1.14576,1.0,1.14576,0.00167855644146
20170523,0.0216799329703,0.0,1.1706,1.0,1.1706,0.0216799329703
20170524,-0.00662907910473,0.0,1.16284,1.0,1.16284,-0.00662907910473
20170525,0.000481579581026,0.0,1.1634,1.0,1.1634,0.000481579581026
20170526,0.00226921093347,0.0,1.16604,1.0,1.16604,0.00226921093347
20170531,-0.0154025590889,0.0,1.14808,1.0,1.14808,-0.0154025590889
20170601,0.0110445265138,0.0,1.16076,1.0,1.16076,0.0110445265138
20170602,-0.00339432785416,0.0,1.15682,1.0,1.15682,-0.00339432785416
20170605,-0.00501374457565,0.0,1.15102,1.0,1.15102,-0.00501374457565
20170606,0.00766276867474,0.0,1.15984,1.0,1.15984,0.00766276867474
20170607,0.0181921644365,0.0,1.18094,1.0,1.18094,0.0181921644365
20170608,0.00836621674259,0.0,1.19082,1.0,1.19082,0.00836621674259
20170609,0.0024017063872,0.0,1.19368,1.0,1.19368,0.0024017063872
20170612,0.0119630051605,0.0,1.20796,1.0,1.20796,0.0119630051605
20170613,0.000264909434087,0.0,1.20828,1.0,1.20828,0.000264909434087
20170614,0.00223458138842,0.0,1.21098,1.0,1.21098,0.00223458138842
20170615,-0.0166641893343,0.0,1.1908,1.0,1.1908,-0.0166641893343
20170616,-0.00280483708431,0.0,1.18746,1.0,1.18746,-0.00280483708431
20170619,0.0126993751368,0.0,1.20254,1.0,1.20254,0.0126993751368
20170620,-0.00643637633675,0.0,1.1948,1.0,1.1948,-0.00643637633675
20170621,0.0107298292601,0.0,1.20762,1.0,1.20762,0.0107298292601
20170622,6.62460045378e-05,0.0,1.2077,1.0,1.2077,6.62460045378e-05
20170623,-3.31208081475e-05,0.0,1.20766,1.0,1.20766,-3.31208081475e-05
20170626,0.0197903383403,0.0,1.23156,1.0,1.23156,0.0197903383403
20170627,-0.00094189483257,0.0,1.2304,1.0,1.2304,-0.00094189483257
20170628,-0.0143042912874,0.0,1.2128,1.0,1.2128,-0.0143042912874
20170629,-0.00377638522427,0.0,1.20822,1.0,1.20822,-0.00377638522427
20170630,-0.00192018009965,0.0,1.2059,1.0,1.2059,-0.00192018009965
20170703,-0.0190397213699,0.0,1.18294,1.0,1.18294,-0.0190397213699
20170704,-0.0142864388726,0.0,1.16604,1.0,1.16604,-0.0142864388726
20170705,-1.11022302463e-16,0.0,1.16604,1.0,1.16604,-2.22044604925e-16
20170706,0.0,0.0,1.16604,1.0,1.16604,0.0
20170707,0.0,0.0,1.16604,1.0,1.16604,0.0
20170710,0.0,0.0,1.16604,1.0,1.16604,0.0
20170711,0.0,0.0,1.16604,1.0,1.16604,0.0
20170712,0.0,0.0,1.16604,1.0,1.16604,0.0
20170713,0.0,0.0,1.16604,1.0,1.16604,0.0
20170714,0.0,0.0,1.16604,1.0,1.16604,0.0
20170717,0.0,0.0,1.16604,1.0,1.16604,0.0
20170718,0.0,0.0,1.16604,1.0,1.16604,0.0
20170719,0.0,0.0,1.16604,1.0,1.16604,0.0
