index,commission,entrust_action,entrust_no,fill_date,fill_no,fill_price,fill_size,fill_time,symbol,task_id
0,0.0,Buy,1,20170126,1,347.63,100.0,0,600519.SH,201701260001
1,0.0,Short,1,20170206,1,346.85,100.0,0,600519.SH,201702060002
2,0.0,Buy,1,20170217,1,348.09,100.0,0,600519.SH,201702170003
3,0.0,Short,1,20170511,1,410.09,100.0,0,600519.SH,201705110004
4,0.0,Buy,1,20170517,1,430.12,100.0,0,600519.SH,201705170005
5,0.0,Short,1,20170705,1,451.92,100.0,0,600519.SH,201707050006
6,0.0,Buy,1,20170721,1,473.52121466,100.0,0,600519.SH,201707210007
7,0.0,Short,1,20170831,1,500.421791735,100.0,0,600519.SH,201708310008
8,0.0,Buy,1,20170906,1,497.39674571,100.0,0,600519.SH,201709060009
9,0.0,Short,1,20170907,1,492.311013968,100.0,0,600519.SH,201709070010
10,0.0,Buy,1,20170919,1,506.512488432,100.0,0,600519.SH,201709190011
