index,commission,entrust_action,entrust_no,fill_date,fill_no,fill_price,fill_size,fill_time,symbol,task_id
0,0.0,Buy,42,20170103,201701030001,50.44,7900.0,143000,002719.SZ,201701030001
1,0.0,Buy,48,20170103,201701030002,7.33,80100.0,143000,002650.SZ,201701030001
2,0.0,Buy,43,20170103,201701030003,6.6,222300.0,143000,600873.SH,201701030001
3,0.0,Buy,49,20170103,201701030004,46.0,13200.0,143000,603779.SH,201701030001
4,0.0,Buy,24,20170103,201701030005,28.25,36200.0,143000,002695.SZ,201701030001
5,0.0,Buy,25,20170103,201701030006,25.19,62500.0,143000,600809.SH,201701030001
6,0.0,Buy,26,20170103,201701030007,14.17,57200.0,143000,600872.SH,201701030001
7,0.0,Buy,27,20170103,201701030008,14.23,60200.0,143000,002329.SZ,201701030001
8,0.0,Buy,20,20170103,201701030009,19.49,34800.0,143000,600779.SH,201701030001
9,0.0,Buy,21,20170103,201701030010,17.73,436900.0,143000,600887.SH,201701030001
10,0.0,Buy,22,20170103,201701030011,19.27,32500.0,143000,002646.SZ,201701030001
11,0.0,Buy,23,20170103,201701030012,45.59,36300.0,143000,000596.SZ,201701030001
12,0.0,Buy,46,20170103,201701030013,70.71,108700.0,143000,002304.SZ,201701030001
13,0.0,Buy,47,20170103,201701030014,17.36,44000.0,143000,002515.SZ,201701030001
14,0.0,Buy,44,20170103,201701030015,22.74,24500.0,143000,600702.SH,201701030001
15,0.0,Buy,45,20170103,201701030016,29.63,97100.0,143000,600600.SH,201701030001
16,0.0,Buy,28,20170103,201701030017,33.24,100900.0,143000,000568.SZ,201701030001
17,0.0,Buy,29,20170103,201701030018,44.43,32000.0,143000,603866.SH,201701030001
18,0.0,Buy,40,20170103,201701030019,32.14,43300.0,143000,603589.SH,201701030001
19,0.0,Buy,41,20170103,201701030020,34.59,273400.0,143000,000858.SZ,201701030001
20,0.0,Buy,1,20170103,201701030021,334.72,90800.0,143000,600519.SH,201701030001
21,0.0,Buy,3,20170103,201701030022,20.29,67200.0,143000,002568.SZ,201701030001
22,0.0,Buy,2,20170103,201701030023,17.39,34000.0,143000,002387.SZ,201701030001
23,0.0,Buy,5,20170103,201701030024,11.25,28900.0,143000,600365.SH,201701030001
24,0.0,Buy,4,20170103,201701030025,11.31,70100.0,143000,000848.SZ,201701030001
25,0.0,Buy,7,20170103,201701030026,10.3,58100.0,143000,600059.SH,201701030001
26,0.0,Buy,6,20170103,201701030027,18.84,21800.0,143000,002702.SZ,201701030001
27,0.0,Buy,9,20170103,201701030028,5.16,76100.0,143000,600186.SH,201701030001
28,0.0,Buy,8,20170103,201701030029,21.46,58000.0,143000,603198.SH,201701030001
29,0.0,Buy,39,20170103,201701030030,11.95,106100.0,143000,300146.SZ,201701030001
30,0.0,Buy,38,20170103,201701030031,9.18,91000.0,143000,002481.SZ,201701030001
31,0.0,Buy,11,20170103,201701030032,11.58,40800.0,143000,002770.SZ,201701030001
32,0.0,Buy,10,20170103,201701030033,13.24,87900.0,143000,600597.SH,201701030001
33,0.0,Buy,13,20170103,201701030034,45.73,11500.0,143000,603027.SH,201701030001
34,0.0,Buy,12,20170103,201701030035,20.95,237600.0,143000,000895.SZ,201701030001
35,0.0,Buy,15,20170103,201701030036,12.86,35400.0,143000,600616.SH,201701030001
36,0.0,Buy,14,20170103,201701030037,20.58,23500.0,143000,000799.SZ,201701030001
37,0.0,Buy,17,20170103,201701030038,9.21,40100.0,143000,600199.SH,201701030001
38,0.0,Buy,16,20170103,201701030039,17.54,31900.0,143000,002726.SZ,201701030001
39,0.0,Buy,19,20170103,201701030040,21.57,41800.0,143000,000860.SZ,201701030001
